,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
8228,SF bay area,2060,apartment,540,0,1.0,0,0,1,0,0,0,laundry in bldg,street parking,ca
8229,SF bay area,2235,apartment,720,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8230,SF bay area,2327,apartment,520,0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8231,SF bay area,3946,apartment,594,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8233,SF bay area,2600,apartment,750,1,1.0,0,0,1,0,0,0,laundry in bldg,street parking,ca
8234,SF bay area,2845,apartment,580,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8235,SF bay area,2450,apartment,1831,4,2.5,0,0,0,0,0,0,w/d hookups,attached garage,ca
8236,SF bay area,2840,apartment,698,1,1.0,1,1,0,1,1,1,w/d in unit,carport,ca
8237,SF bay area,2662,apartment,940,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
8239,SF bay area,3095,apartment,792,2,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca
8240,SF bay area,3655,apartment,660,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8242,SF bay area,103000,house,2400,3,2.5,0,0,0,0,0,0,w/d in unit,off-street parking,ca
8244,SF bay area,5410,apartment,1020,2,2.0,1,1,0,0,1,0,w/d in unit,carport,ca
8245,SF bay area,1750,apartment,559,1,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8246,SF bay area,2497,apartment,553,0,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8247,SF bay area,2875,apartment,572,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8248,SF bay area,1895,apartment,875,2,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8250,SF bay area,2419,apartment,700,1,1.0,1,1,0,0,0,0,laundry on site,detached garage,ca
8251,SF bay area,2501,apartment,1030,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8252,SF bay area,1699,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8257,SF bay area,2880,apartment,741,1,1.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8259,SF bay area,2250,apartment,950,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
8260,SF bay area,2958,apartment,875,2,1.0,1,1,0,1,0,0,laundry in bldg,street parking,ca
8261,SF bay area,2635,apartment,698,1,1.0,1,1,0,1,1,1,w/d in unit,carport,ca
8262,SF bay area,4295,apartment,825,1,1.0,1,1,0,1,1,1,w/d in unit,attached garage,ca
8263,SF bay area,1934,apartment,986,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8264,SF bay area,2376,apartment,860,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
8265,SF bay area,1890,apartment,875,2,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8266,SF bay area,1764,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8267,SF bay area,2281,apartment,445,0,1.0,1,1,0,0,0,0,laundry in bldg,carport,ca
8270,SF bay area,1850,apartment,640,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8272,SF bay area,2914,apartment,693,1,1.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8273,SF bay area,3200,apartment,900,2,1.0,0,0,0,0,0,0,no laundry on site,no parking,ca
8274,SF bay area,5200,house,2814,6,3.5,0,0,0,0,0,1,w/d in unit,attached garage,ca
8276,SF bay area,2325,apartment,1000,2,2.0,0,1,0,0,0,0,laundry on site,carport,ca
8277,SF bay area,2099,apartment,556,1,1.0,1,1,0,0,1,0,w/d in unit,off-street parking,ca
8278,SF bay area,4280,apartment,900,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8279,SF bay area,2900,condo,1048,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8280,SF bay area,2175,apartment,650,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca
8281,SF bay area,2165,apartment,345,1,1.0,1,1,0,0,0,0,laundry on site,street parking,ca
8283,SF bay area,2282,apartment,700,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,ca
8284,SF bay area,2095,apartment,345,0,1.0,1,1,0,0,0,0,laundry on site,street parking,ca
8285,SF bay area,2182,apartment,400,0,1.0,1,1,0,0,0,0,laundry on site,detached garage,ca
8287,SF bay area,2550,duplex,650,1,1.0,1,1,0,0,0,0,laundry on site,detached garage,ca
8288,SF bay area,2500,apartment,812,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,ca
8289,SF bay area,2200,house,700,1,1.0,1,0,0,0,0,0,no laundry on site,off-street parking,ca
8290,SF bay area,3380,loft,907,1,1.5,1,1,1,1,0,1,w/d in unit,attached garage,ca
8291,SF bay area,2058,apartment,600,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8292,SF bay area,2554,apartment,1073,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
8293,SF bay area,2950,townhouse,1100,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking,ca
8294,SF bay area,2650,apartment,1004,2,2.5,1,1,0,0,0,0,w/d in unit,carport,ca
8296,SF bay area,2278,apartment,725,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8297,SF bay area,2722,apartment,701,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8298,SF bay area,3998,apartment,672,0,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8299,SF bay area,2081,apartment,898,2,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8303,SF bay area,2883,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8305,SF bay area,4395,apartment,950,2,1.0,0,1,0,0,0,0,laundry in bldg,street parking,ca
8306,SF bay area,2825,apartment,652,1,1.0,0,0,0,0,0,0,w/d in unit,carport,ca
8307,SF bay area,4980,condo,1150,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
8309,SF bay area,2545,apartment,630,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8311,SF bay area,1990,apartment,600,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8312,SF bay area,3619,apartment,1078,2,2.0,1,1,0,1,0,0,w/d in unit,off-street parking,ca
8314,SF bay area,1800,in-law,450,1,1.0,0,0,0,0,0,0,no laundry on site,street parking,ca
8316,SF bay area,1500,in-law,150,1,1.0,0,0,0,0,0,0,w/d in unit,street parking,ca
8319,SF bay area,3110,apartment,935,2,2.0,1,1,0,1,1,1,w/d in unit,carport,ca
8320,SF bay area,2295,apartment,735,1,1.0,1,1,0,1,1,0,w/d in unit,carport,ca
8322,SF bay area,1750,apartment,800,2,1.0,0,0,0,0,0,0,laundry in bldg,carport,ca
8323,SF bay area,3295,house,1200,2,1.0,1,1,0,0,0,1,w/d in unit,off-street parking,ca
8325,SF bay area,2256,apartment,625,1,1.0,0,0,1,0,0,0,w/d in unit,carport,ca
8326,SF bay area,2900,apartment,742,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8327,SF bay area,2900,apartment,742,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8328,SF bay area,4100,apartment,963,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8329,SF bay area,2200,condo,831,2,1.0,1,1,0,1,0,0,w/d in unit,carport,ca
8331,SF bay area,3230,apartment,783,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8333,SF bay area,2828,apartment,730,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8334,SF bay area,2769,apartment,450,0,1.0,1,1,0,1,0,0,laundry in bldg,attached garage,ca
8336,SF bay area,1895,apartment,552,1,1.0,1,0,0,0,0,0,laundry on site,carport,ca
8338,SF bay area,3305,apartment,1035,2,2.0,1,1,0,1,1,0,w/d in unit,off-street parking,ca
8339,SF bay area,1890,apartment,700,2,1.0,0,0,1,0,0,0,laundry in bldg,carport,ca
8340,SF bay area,2732,apartment,604,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8341,SF bay area,3400,apartment,620,1,1.0,1,0,1,0,0,0,w/d in unit,street parking,ca
8342,SF bay area,2295,apartment,894,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8344,SF bay area,2295,apartment,660,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8345,SF bay area,1919,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8347,SF bay area,1950,apartment,675,1,1.0,0,0,1,0,0,0,laundry on site,street parking,ca
8348,SF bay area,3200,house,1100,3,1.5,1,1,1,0,0,0,w/d hookups,detached garage,ca
8350,SF bay area,2724,apartment,977,1,1.0,1,1,0,1,0,1,w/d in unit,attached garage,ca
8351,SF bay area,3680,house,1528,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
8352,SF bay area,1930,condo,413,0,1.0,1,1,1,1,0,1,w/d hookups,attached garage,ca
8355,SF bay area,3195,apartment,1037,2,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8356,SF bay area,2255,apartment,1000,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8357,SF bay area,2150,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8358,SF bay area,2095,apartment,345,0,1.0,1,1,0,0,0,0,laundry on site,street parking,ca
8359,SF bay area,1400,in-law,400,2,1.0,0,0,0,0,0,0,no laundry on site,street parking,ca
8360,SF bay area,3121,apartment,780,2,1.0,0,0,1,0,0,0,w/d in unit,carport,ca
8361,SF bay area,2500,apartment,812,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,ca
8362,SF bay area,2515,apartment,855,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8363,SF bay area,2165,apartment,345,1,1.0,1,1,0,1,1,0,w/d in unit,carport,ca
8364,SF bay area,3242,townhouse,1001,1,1.0,1,1,0,0,1,0,w/d in unit,attached garage,ca
8365,SF bay area,3705,apartment,1135,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8366,SF bay area,1610,apartment,650,2,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca
8369,SF bay area,2847,apartment,950,2,2.0,1,1,0,0,1,0,w/d in unit,detached garage,ca
8371,SF bay area,4960,apartment,1058,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8372,SF bay area,4380,apartment,1211,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8373,SF bay area,4695,townhouse,1038,2,2.5,0,0,0,0,0,0,w/d in unit,attached garage,ca
8374,SF bay area,3522,apartment,1051,2,2.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8375,SF bay area,2700,apartment,950,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8377,SF bay area,2295,apartment,850,2,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8378,SF bay area,1200,apartment,576,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
8381,SF bay area,1995,apartment,610,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,ca
8382,SF bay area,1200,apartment,576,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
8383,SF bay area,3390,apartment,750,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8384,SF bay area,2985,apartment,1700,4,2.5,0,0,1,0,0,0,w/d hookups,attached garage,ca
8385,SF bay area,4500,house,1150,3,2.0,0,0,1,0,0,0,w/d in unit,detached garage,ca
8386,SF bay area,2395,apartment,550,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8387,SF bay area,2553,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8388,SF bay area,3078,apartment,39,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8389,SF bay area,2695,apartment,900,2,1.0,1,1,0,0,0,0,w/d hookups,attached garage,ca
8391,SF bay area,3995,apartment,1200,3,2.0,0,0,0,0,0,0,w/d in unit,carport,ca
8392,SF bay area,2444,apartment,595,1,1.0,1,1,0,1,1,1,w/d in unit,off-street parking,ca
8393,SF bay area,2172,apartment,928,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8394,SF bay area,5450,house,2200,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,ca
8395,SF bay area,2750,apartment,750,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8396,SF bay area,2950,condo,850,2,2.0,0,0,0,0,0,0,laundry in bldg,carport,ca
8398,SF bay area,4980,apartment,1305,3,2.0,0,0,1,0,0,0,laundry on site,carport,ca
8400,SF bay area,2831,apartment,1061,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8401,SF bay area,3306,apartment,1159,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8402,SF bay area,3400,house,1605,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,ca
8403,SF bay area,2895,apartment,705,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
8405,SF bay area,2765,apartment,687,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8408,SF bay area,4325,apartment,1067,1,1.0,1,1,0,1,0,0,w/d in unit,off-street parking,ca
8410,SF bay area,4048,townhouse,1400,3,3.0,1,1,0,0,1,0,w/d in unit,attached garage,ca
8411,SF bay area,3054,apartment,961,2,2.0,1,1,0,0,1,0,w/d in unit,detached garage,ca
8412,SF bay area,2215,apartment,858,1,1.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8413,SF bay area,2395,apartment,600,1,1.0,1,0,1,0,0,0,laundry in bldg,street parking,ca
8414,SF bay area,2702,apartment,693,1,1.0,1,1,0,0,1,0,w/d in unit,detached garage,ca
8415,SF bay area,2600,apartment,700,2,1.0,0,0,1,0,0,0,laundry on site,carport,ca
8416,SF bay area,2100,condo,920,2,1.0,0,0,0,0,0,0,w/d in unit,carport,ca
8418,SF bay area,6700,house,2600,4,2.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca
8419,SF bay area,2295,apartment,740,1,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8420,SF bay area,1850,apartment,634,1,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8423,SF bay area,3369,apartment,735,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8424,SF bay area,2910,apartment,632,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8426,SF bay area,3372,apartment,773,1,1.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8427,SF bay area,2599,apartment,700,1,1.0,1,1,0,0,1,0,w/d in unit,detached garage,ca
8428,SF bay area,2795,apartment,530,0,1.0,0,0,1,0,0,0,laundry in bldg,attached garage,ca
8429,SF bay area,3345,apartment,735,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8430,SF bay area,2966,apartment,1144,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8432,SF bay area,4910,apartment,981,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8433,SF bay area,2745,apartment,652,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca
8434,SF bay area,2243,apartment,596,0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8435,SF bay area,1880,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8436,SF bay area,3226,apartment,870,2,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8437,SF bay area,2961,apartment,1056,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8438,SF bay area,2591,apartment,732,1,1.0,1,1,0,0,1,0,w/d in unit,detached garage,ca
8440,SF bay area,2844,apartment,475,0,1.0,1,1,0,0,0,0,laundry on site,attached garage,ca
8444,SF bay area,2591,apartment,700,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8445,SF bay area,1700,apartment,500,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca
8446,SF bay area,2167,apartment,530,0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8447,SF bay area,2149,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8448,SF bay area,1050,house,1200,3,1.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
8450,SF bay area,2990,condo,1276,2,2.5,0,0,1,0,0,0,w/d in unit,attached garage,ca
8452,SF bay area,5351,apartment,1143,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8453,SF bay area,3189,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8454,SF bay area,4207,apartment,1090,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8455,SF bay area,2006,apartment,591,0,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
8456,SF bay area,5695,apartment,1074,3,2.0,1,1,1,0,0,0,w/d in unit,street parking,ca
8458,SF bay area,2450,apartment,512,0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8459,SF bay area,3276,apartment,411,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8460,SF bay area,2395,apartment,850,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8463,SF bay area,3753,apartment,1225,2,1.5,1,1,0,0,0,0,w/d in unit,attached garage,ca
8464,SF bay area,2375,apartment,771,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8465,SF bay area,3500,house,1500,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage,ca
8466,SF bay area,2445,apartment,560,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
8468,SF bay area,4500,house,2500,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage,ca
8470,SF bay area,2200,apartment,40,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8471,SF bay area,9500,apartment,2330,4,3.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
8472,SF bay area,2850,apartment,760,2,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8475,SF bay area,2650,apartment,688,1,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8477,SF bay area,4600,house,2374,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
8478,SF bay area,3300,house,1600,3,2.0,0,0,0,0,0,1,laundry on site,attached garage,ca
8479,SF bay area,1970,apartment,685,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,ca
8480,SF bay area,3200,house,1728,3,2.5,1,1,0,0,0,0,w/d in unit,off-street parking,ca
8481,SF bay area,2245,apartment,1014,2,2.0,1,1,0,1,0,0,w/d in unit,carport,ca
8482,SF bay area,2424,apartment,825,1,1.0,1,1,0,1,0,0,w/d in unit,carport,ca
8483,SF bay area,5500,condo,1123,3,2.0,1,0,0,0,0,0,w/d in unit,no parking,ca
8484,SF bay area,2591,apartment,700,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8485,SF bay area,2895,apartment,705,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
8486,SF bay area,3325,apartment,1020,2,2.0,1,1,0,0,1,0,w/d in unit,carport,ca
8487,SF bay area,3295,apartment,1050,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
8488,SF bay area,2230,apartment,700,1,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8489,SF bay area,2515,apartment,850,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
8490,SF bay area,2635,apartment,676,1,1.0,1,1,0,1,0,0,laundry in bldg,attached garage,ca
8492,SF bay area,3195,apartment,800,1,1.0,0,0,1,0,0,0,w/d in unit,carport,ca
8493,SF bay area,2275,townhouse,988,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
8494,SF bay area,3095,apartment,705,1,1.0,0,0,1,0,0,0,laundry in bldg,attached garage,ca
8495,SF bay area,2875,apartment,1000,2,1.5,0,0,1,0,0,0,w/d in unit,carport,ca
8496,SF bay area,3298,apartment,593,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca
8497,SF bay area,1875,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
8498,SF bay area,5900,house,1536,3,2.0,1,0,0,0,0,0,w/d in unit,attached garage,ca
8500,SF bay area,2275,townhouse,988,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
8501,SF bay area,3620,apartment,839,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8502,SF bay area,2350,in-law,830,2,1.0,1,0,1,0,0,0,w/d hookups,street parking,ca
8503,SF bay area,1905,apartment,524,0,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8504,SF bay area,2712,apartment,551,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8505,SF bay area,2100,house,950,2,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca
8506,SF bay area,2697,apartment,1042,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8507,SF bay area,1200,apartment,200,1,1.0,1,0,0,0,0,1,no laundry on site,off-street parking,ca
8508,SF bay area,3550,apartment,719,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8509,SF bay area,2094,apartment,676,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,ca
8510,SF bay area,1601,apartment,712,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8511,SF bay area,2295,apartment,790,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8512,SF bay area,2400,apartment,868,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8514,SF bay area,2300,townhouse,1200,3,1.5,0,0,0,0,0,0,w/d in unit,carport,ca
8515,SF bay area,3497,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8516,SF bay area,3495,townhouse,1550,3,2.0,0,0,1,0,0,0,w/d in unit,attached garage,ca
8518,SF bay area,3360,apartment,627,1,1.0,1,1,0,1,0,0,w/d in unit,off-street parking,ca
8519,SF bay area,1745,apartment,643,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
8520,SF bay area,2145,apartment,682,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8521,SF bay area,1950,in-law,400,1,1.0,0,0,1,0,0,0,no laundry on site,street parking,ca
8522,SF bay area,1845,apartment,756,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
8524,SF bay area,2210,apartment,603,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca
8525,SF bay area,1945,apartment,820,2,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8526,SF bay area,2150,apartment,825,2,2.0,1,1,0,0,0,0,laundry on site,carport,ca
8527,SF bay area,1664,apartment,619,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8528,SF bay area,1601,apartment,705,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8529,SF bay area,1600,cottage/cabin,840,1,1.0,1,1,1,1,0,1,w/d in unit,street parking,ca
8530,SF bay area,3850,apartment,947,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8531,SF bay area,3650,apartment,1000,2,1.0,0,0,0,0,0,0,w/d in unit,street parking,ca
8532,SF bay area,2995,house,1000,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
8533,SF bay area,1200,apartment,200,1,1.0,1,0,0,0,0,1,no laundry on site,off-street parking,ca
8534,SF bay area,2145,apartment,926,2,1.0,1,1,0,0,0,0,w/d in unit,no parking,ca
8536,SF bay area,1625,apartment,650,1,1.0,0,0,0,1,0,0,laundry on site,carport,ca
8539,SF bay area,1875,apartment,1100,2,2.0,0,0,0,1,0,0,laundry on site,carport,ca
8540,SF bay area,2920,apartment,888,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8541,SF bay area,2945,apartment,1021,2,2.0,0,0,0,0,0,0,laundry on site,carport,ca
8543,SF bay area,2330,apartment,1019,2,2.0,1,1,0,0,0,0,laundry in bldg,detached garage,ca
8544,SF bay area,2773,apartment,590,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8545,SF bay area,2305,apartment,735,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
8547,SF bay area,2666,apartment,870,2,2.0,1,1,0,0,0,0,laundry on site,carport,ca
8548,SF bay area,3295,apartment,997,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8549,SF bay area,3770,apartment,1290,2,2.5,1,1,0,0,0,0,w/d in unit,attached garage,ca
8550,SF bay area,3490,apartment,1100,2,1.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
8552,SF bay area,2793,apartment,778,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8553,SF bay area,2395,apartment,900,2,1.0,0,0,1,0,0,0,laundry on site,carport,ca
8555,SF bay area,2195,apartment,625,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
8556,SF bay area,2773,apartment,869,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8557,SF bay area,4021,apartment,1073,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8559,SF bay area,3922,apartment,838,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
8560,SF bay area,2195,apartment,700,1,1.0,1,0,1,0,0,0,laundry on site,carport,ca
8563,SF bay area,3300,apartment,1247,2,2.5,1,1,0,0,1,0,w/d in unit,carport,ca
8564,SF bay area,5785,apartment,1022,2,2.0,1,1,0,0,0,1,w/d in unit,street parking,ca
8565,SF bay area,2793,apartment,778,1,1.0,1,1,1,1,0,0,w/d in unit,detached garage,ca
8566,SF bay area,3010,apartment,783,1,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
8567,SF bay area,2535,apartment,1315,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8568,SF bay area,2500,townhouse,788,1,1.0,0,0,0,0,0,0,laundry on site,detached garage,ca
8569,SF bay area,1540,apartment,640,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca
8570,SF bay area,2745,apartment,1048,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8571,SF bay area,1200,apartment,200,1,1.0,1,0,0,0,0,1,no laundry on site,off-street parking,ca
8572,SF bay area,2109,apartment,700,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8574,SF bay area,2104,apartment,600,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
8575,SF bay area,3545,apartment,1005,2,2.0,0,0,1,0,0,0,w/d in unit,carport,ca
8576,SF bay area,3807,apartment,841,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
8577,SF bay area,3650,condo,812,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,ca
8578,SF bay area,3520,apartment,782,1,1.0,1,1,0,1,1,1,w/d in unit,attached garage,ca
8579,SF bay area,3768,apartment,1254,2,2.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
8580,SF bay area,4944,apartment,1214,2,2.0,1,1,0,1,0,0,w/d in unit,detached garage,ca
8581,SF bay area,5000,apartment,1284,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
8582,SF bay area,2375,apartment,1315,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
8583,SF bay area,2700,townhouse,900,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
8584,SF bay area,2762,apartment,1212,2,2.5,1,1,0,0,0,0,w/d in unit,detached garage,ca
8586,SF bay area,3210,apartment,976,2,1.5,1,1,0,0,0,0,w/d in unit,carport,ca
8587,SF bay area,3425,apartment,1195,2,2.0,0,0,0,0,1,0,w/d in unit,carport,ca
8588,SF bay area,1839,apartment,900,2,1.0,1,0,1,0,0,0,laundry on site,off-street parking,ca
8589,SF bay area,3700,apartment,1152,2,1.5,1,1,1,0,0,0,w/d in unit,carport,ca
8591,SF bay area,2145,apartment,660,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
8592,SF bay area,2750,apartment,1000,2,1.0,0,0,0,0,0,0,laundry on site,carport,ca
