,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
85,reno / tahoe,1195,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
86,reno / tahoe,995,duplex,600,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
87,reno / tahoe,1625,townhouse,1276,3,1.5,0,0,1,0,0,0,w/d hookups,carport,ca
88,reno / tahoe,1695,townhouse,1226,3,2.5,0,0,1,0,0,0,w/d in unit,attached garage,ca
91,reno / tahoe,1593,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
94,reno / tahoe,1558,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
96,reno / tahoe,1253,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
98,reno / tahoe,1558,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
101,reno / tahoe,1100,condo,850,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
102,reno / tahoe,1099,townhouse,1100,2,1.5,1,1,0,1,0,1,laundry in bldg,carport,ca
103,reno / tahoe,1695,house,1902,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
104,reno / tahoe,1239,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
105,reno / tahoe,1225,duplex,800,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,ca
108,reno / tahoe,1195,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
110,reno / tahoe,2300,house,2000,3,2.0,1,1,0,0,0,1,w/d in unit,attached garage,ca
111,reno / tahoe,3000,house,2400,3,3.0,0,1,1,0,0,0,w/d in unit,attached garage,ca
112,reno / tahoe,2300,house,2000,3,2.0,1,1,0,0,0,1,w/d in unit,attached garage,ca
113,reno / tahoe,2095,house,1870,4,2.0,0,1,1,0,0,0,w/d in unit,attached garage,ca
114,reno / tahoe,1500,house,950,2,1.0,1,0,1,0,0,0,w/d in unit,carport,ca
115,reno / tahoe,982,apartment,960,2,1.0,1,1,0,0,0,0,w/d in unit,street parking,ca
116,reno / tahoe,895,duplex,730,1,1.0,0,0,0,0,0,0,w/d in unit,street parking,ca
118,reno / tahoe,1557,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
120,reno / tahoe,274,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking,ca
121,reno / tahoe,1319,apartment,1010,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
122,reno / tahoe,1699,apartment,1304,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
123,reno / tahoe,1699,apartment,1304,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
125,reno / tahoe,980,apartment,580,1,1.0,1,1,0,1,0,0,laundry in bldg,carport,ca
126,reno / tahoe,1699,apartment,1304,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
128,reno / tahoe,1549,house,1274,4,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
130,reno / tahoe,1775,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
131,reno / tahoe,1120,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
132,reno / tahoe,2050,apartment,1166,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
134,reno / tahoe,1300,apartment,614,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
135,reno / tahoe,1148,apartment,1219,3,2.0,1,1,0,0,0,0,w/d in unit,street parking,ca
136,reno / tahoe,1472,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
137,reno / tahoe,1499,apartment,1034,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
138,reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
139,reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
140,reno / tahoe,1295,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
143,reno / tahoe,1295,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
145,reno / tahoe,1899,house,1417,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage,ca
146,reno / tahoe,1800,apartment,1438,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
147,reno / tahoe,1360,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
149,reno / tahoe,1399,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
150,reno / tahoe,1599,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
151,reno / tahoe,1799,apartment,1321,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
152,reno / tahoe,1399,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca
153,reno / tahoe,1379,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
154,reno / tahoe,1750,apartment,1096,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
155,sacramento,1695,house,1100,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
156,reno / tahoe,1800,apartment,1438,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
159,reno / tahoe,980,apartment,580,1,1.0,1,1,0,1,0,0,laundry in bldg,carport,ca
160,reno / tahoe,1163,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
162,reno / tahoe,1827,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
163,reno / tahoe,1399,apartment,823,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
164,reno / tahoe,1599,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
165,reno / tahoe,1135,apartment,665,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
166,reno / tahoe,1800,apartment,1438,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
168,reno / tahoe,1485,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,ca
169,reno / tahoe,1745,apartment,1098,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
171,reno / tahoe,1995,house,1672,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
172,reno / tahoe,2150,apartment,1283,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
173,reno / tahoe,1410,apartment,1020,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
174,reno / tahoe,1195,house,1076,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking,ca
175,reno / tahoe,1429,apartment,1121,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
178,reno / tahoe,274,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking,ca
179,reno / tahoe,1751,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
180,reno / tahoe,1595,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
181,visalia-tulare,1250,house,1147,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
182,reno / tahoe,1230,apartment,648,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
183,reno / tahoe,2040,apartment,1500,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
188,reno / tahoe,1100,apartment,1170,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
189,reno / tahoe,750,apartment,400,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,ca
191,reno / tahoe,1095,apartment,870,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
193,reno / tahoe,1737,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
194,reno / tahoe,1995,house,1444,3,2.0,1,1,0,0,0,0,w/d hookups,attached garage,ca
198,reno / tahoe,1595,house,1048,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
200,reno / tahoe,1495,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca
201,reno / tahoe,2395,house,2175,4,2.5,0,0,0,0,0,0,w/d hookups,attached garage,ca
203,reno / tahoe,1625,apartment,1134,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
204,reno / tahoe,980,apartment,580,1,1.0,1,1,0,1,0,0,laundry in bldg,carport,ca
205,reno / tahoe,1148,apartment,1078,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
206,reno / tahoe,1995,apartment,1316,2,2.0,1,1,0,1,0,0,w/d in unit,carport,ca
207,sacramento,1699,apartment,860,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
208,reno / tahoe,279,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking,ca
209,reno / tahoe,1132,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,ca
210,reno / tahoe,1345,apartment,925,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
211,reno / tahoe,2195,house,2523,4,2.5,1,1,0,0,0,0,w/d in unit,attached garage,ca
212,reno / tahoe,1095,apartment,990,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
213,reno / tahoe,1745,apartment,1127,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
215,reno / tahoe,1399,apartment,1191,2,2.0,1,1,0,1,1,0,w/d in unit,carport,ca
216,reno / tahoe,1995,house,2172,3,3.5,0,0,0,0,0,0,w/d hookups,attached garage,ca
217,reno / tahoe,1827,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
218,reno / tahoe,1795,house,1996,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca
219,reno / tahoe,1485,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,ca
223,reno / tahoe,1479,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
224,reno / tahoe,800,house,400,1,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca
225,reno / tahoe,2057,apartment,1020,2,2.0,1,1,1,0,0,1,w/d in unit,attached garage,ca
227,reno / tahoe,1504,apartment,976,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
229,reno / tahoe,1413,apartment,849,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
231,reno / tahoe,1575,apartment,1700,1,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,ca
232,reno / tahoe,1284,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
233,reno / tahoe,982,apartment,919,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
235,reno / tahoe,1575,apartment,968,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
239,reno / tahoe,1775,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
241,reno / tahoe,1575,apartment,968,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
242,reno / tahoe,1242,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
245,reno / tahoe,1845,apartment,1501,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
246,reno / tahoe,1277,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
247,reno / tahoe,1045,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
249,reno / tahoe,1250,apartment,960,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
250,reno / tahoe,1250,apartment,960,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
251,reno / tahoe,950,apartment,500,0,1.0,1,0,0,0,0,0,laundry in bldg,off-street parking,ca
252,reno / tahoe,1045,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
253,reno / tahoe,1595,apartment,860,2,1.0,1,1,1,0,0,1,w/d in unit,carport,ca
254,reno / tahoe,1250,apartment,960,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
255,reno / tahoe,1045,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca
256,reno / tahoe,1199,apartment,860,2,1.0,1,1,1,0,0,1,w/d in unit,carport,ca
257,reno / tahoe,279,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking,ca
258,reno / tahoe,1449,apartment,911,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
259,reno / tahoe,1410,apartment,1020,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
260,reno / tahoe,265,apartment,210,1,0.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
261,reno / tahoe,945,apartment,400,1,1.0,1,0,0,0,0,0,laundry in bldg,street parking,ca
262,reno / tahoe,260,apartment,195,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
264,reno / tahoe,1620,apartment,1132,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
270,reno / tahoe,1295,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
272,reno / tahoe,1095,apartment,708,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
273,reno / tahoe,900,apartment,710,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
274,reno / tahoe,1745,apartment,1098,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
275,reno / tahoe,1100,apartment,1170,2,2.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
276,reno / tahoe,750,apartment,400,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,ca
