region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
santa barbara,2850,apartment,25,1,1.0,1,1,0,0,0,0,laundry in bldg,carport,ca,1,25.0,2850.0,3,4
santa barbara,3895,apartment,1026,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,513.0,1947.5,5,6
santa barbara,1950,apartment,750,1,1.0,1,1,1,0,0,1,w/d in unit,off-street parking,ca,1,750.0,1950.0,5,3
santa barbara,3895,apartment,1026,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,513.0,1947.5,5,6
santa barbara,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa barbara,3500,townhouse,1000,2,2.5,0,1,0,0,0,1,laundry in bldg,attached garage,ca,2,500.0,1750.0,3,6
santa barbara,3895,apartment,1026,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,513.0,1947.5,5,6
santa barbara,3000,apartment,646,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,1,646.0,3000.0,5,6
santa barbara,2500,apartment,600,1,1.0,0,0,1,0,0,1,laundry on site,attached garage,ca,1,600.0,2500.0,2,6
santa barbara,3000,cottage/cabin,650,2,1.0,1,1,0,0,0,1,no laundry on site,off-street parking,ca,2,325.0,1500.0,1,3
santa barbara,3000,cottage/cabin,650,1,1.0,1,1,0,0,1,1,no laundry on site,off-street parking,ca,1,650.0,3000.0,1,3
santa barbara,2400,condo,1238,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,619.0,1200.0,5,3
santa barbara,2400,condo,1238,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,619.0,1200.0,5,3
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,0,1,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,2120,apartment,612,1,1.0,1,0,0,0,0,0,laundry on site,off-street parking,ca,1,612.0,2120.0,2,3
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,2850,apartment,750,1,1.0,1,1,1,0,0,0,w/d hookups,detached garage,ca,1,750.0,2850.0,4,5
santa barbara,6750,house,2384,3,3.0,1,1,1,0,0,0,w/d in unit,detached garage,ca,3,794.6666666666666,2250.0,5,5
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,2950,apartment,1120,2,1.5,1,1,0,0,0,0,laundry in bldg,carport,ca,2,560.0,1475.0,3,4
santa barbara,2250,apartment,450,1,1.0,0,1,1,0,0,0,laundry on site,off-street parking,ca,1,450.0,2250.0,2,3
santa barbara,2250,apartment,450,1,1.0,0,1,1,0,0,0,laundry on site,off-street parking,ca,1,450.0,2250.0,2,3
santa barbara,3750,house,1829,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,609.6666666666666,1250.0,5,6
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,0,1,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,3700,apartment,1600,3,2.5,1,1,1,0,0,0,laundry on site,carport,ca,3,533.3333333333334,1233.3333333333333,2,4
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa barbara,6000,house,3900,4,3.0,0,0,1,0,0,1,w/d in unit,off-street parking,ca,4,975.0,1500.0,5,3
santa barbara,3135,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,1,700.0,3135.0,5,3
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,3000,apartment,646,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,1,646.0,3000.0,5,6
santa barbara,3140,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,1,700.0,3140.0,5,3
santa barbara,3165,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,1,700.0,3165.0,5,3
santa barbara,3165,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,1,700.0,3165.0,5,3
santa barbara,1950,apartment,750,1,1.0,1,1,1,0,0,1,w/d in unit,off-street parking,ca,1,750.0,1950.0,5,3
santa barbara,3355,apartment,944,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,472.0,1677.5,5,3
santa barbara,3895,apartment,1026,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,513.0,1947.5,5,6
santa barbara,4195,apartment,650,1,1.0,1,1,1,1,0,0,laundry in bldg,off-street parking,ca,1,650.0,4195.0,3,3
santa barbara,3320,apartment,944,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,472.0,1660.0,5,3
santa barbara,3895,apartment,1026,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,513.0,1947.5,5,6
santa maria,1300,apartment,576,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,576.0,1300.0,2,4
santa barbara,1850,duplex,850,2,2.0,1,0,0,0,0,0,laundry on site,off-street parking,ca,2,425.0,925.0,2,3
santa barbara,1925,apartment,650,1,1.0,1,1,0,1,0,0,laundry on site,carport,ca,1,650.0,1925.0,2,4
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,3795,apartment,944,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,472.0,1897.5,5,3
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,2950,duplex,1100,3,1.0,0,0,0,0,0,0,w/d in unit,carport,ca,3,366.6666666666667,983.3333333333334,5,4
santa barbara,3795,apartment,944,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,472.0,1897.5,5,3
santa barbara,2185,apartment,612,1,1.0,1,0,0,0,0,0,laundry on site,off-street parking,ca,1,612.0,2185.0,2,3
santa barbara,2140,apartment,612,1,1.0,1,0,0,0,0,0,laundry on site,off-street parking,ca,1,612.0,2140.0,2,3
santa barbara,2585,apartment,801,2,1.0,1,0,0,0,0,0,laundry on site,off-street parking,ca,2,400.5,1292.5,2,3
santa barbara,8500,house,2205,3,3.0,0,0,0,0,0,1,w/d in unit,attached garage,ca,3,735.0,2833.3333333333335,5,6
santa barbara,3595,apartment,844,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca,2,422.0,1797.5,5,6
santa barbara,2500,apartment,900,2,1.0,1,1,1,0,0,1,laundry on site,street parking,ca,2,450.0,1250.0,2,2
santa barbara,4500,house,1200,2,1.0,1,1,1,0,0,1,laundry on site,carport,ca,2,600.0,2250.0,2,4
santa barbara,120,house,2000,3,2.0,0,0,0,1,0,1,w/d in unit,off-street parking,ca,3,666.6666666666666,40.0,5,3
santa barbara,2600,townhouse,3200,4,3.5,0,0,0,0,0,0,w/d in unit,attached garage,ca,4,800.0,650.0,5,6
santa maria,1806,apartment,788,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca,2,394.0,903.0,2,4
santa maria,1377,apartment,560,0,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,560.0,1377.0,2,4
santa maria,2090,apartment,1257,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,3,419.0,696.6666666666666,5,4
santa maria,2150,apartment,1300,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,433.3333333333333,716.6666666666666,5,6
santa maria,2275,apartment,1257,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,628.5,1137.5,5,4
santa maria,1940,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,425.0,970.0,5,4
santa maria,1350,cottage/cabin,800,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca,1,800.0,1350.0,2,3
santa maria,1666,apartment,795,2,1.0,1,1,1,0,0,0,laundry in bldg,carport,ca,2,397.5,833.0,3,4
santa maria,1525,apartment,670,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,670.0,1525.0,5,4
santa maria,1408,apartment,655,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,ca,1,655.0,1408.0,3,4
santa maria,1427,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca,2,412.5,713.5,2,4
santa maria,2180,apartment,1257,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,3,419.0,726.6666666666666,5,4
santa maria,1867,apartment,1084,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,2,542.0,933.5,5,6
santa maria,1655,apartment,608,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,608.0,1655.0,2,4
santa maria,1441,apartment,655,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,655.0,1441.0,2,4
santa maria,1900,house,1004,3,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,ca,3,334.6666666666667,633.3333333333334,5,3
santa maria,2350,house,1900,3,2.0,0,0,0,1,0,0,w/d hookups,attached garage,ca,3,633.3333333333334,783.3333333333334,4,6
santa maria,2255,apartment,1257,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,628.5,1127.5,5,4
santa maria,2150,apartment,1300,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,433.3333333333333,716.6666666666666,5,6
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1427,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca,2,412.5,713.5,2,4
santa maria,2495,house,1856,3,2.0,1,1,0,1,0,0,laundry in bldg,attached garage,ca,3,618.6666666666666,831.6666666666666,3,6
santa maria,950,house,3500,3,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca,3,1166.6666666666667,316.6666666666667,5,3
santa maria,1430,apartment,655,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,ca,1,655.0,1430.0,3,4
santa maria,2000,house,1459,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,3,486.3333333333333,666.6666666666666,4,6
santa maria,1427,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca,2,412.5,713.5,2,4
santa maria,1950,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,975.0,5,3
santa maria,1427,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca,2,412.5,713.5,2,4
santa maria,1350,apartment,500,0,1.0,1,1,1,0,0,0,laundry on site,street parking,ca,1,500.0,1350.0,2,2
santa maria,1950,apartment,750,1,1.0,1,1,1,0,0,1,w/d in unit,off-street parking,ca,1,750.0,1950.0,5,3
santa maria,1650,condo,882,2,1.5,0,0,1,0,0,0,w/d hookups,carport,ca,2,441.0,825.0,4,4
santa maria,1995,manufactured,1536,3,2.0,0,0,1,0,0,0,w/d hookups,detached garage,ca,3,512.0,665.0,4,5
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1427,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca,2,412.5,713.5,2,4
santa maria,1700,apartment,1100,2,1.0,0,0,1,0,0,0,w/d hookups,street parking,ca,2,550.0,850.0,4,2
santa maria,2245,apartment,1257,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,628.5,1122.5,5,4
santa maria,3000,condo,1887,4,3.5,1,1,0,0,1,1,w/d in unit,attached garage,ca,4,471.75,750.0,5,6
santa maria,1700,house,840,1,1.0,1,0,0,0,0,0,w/d hookups,off-street parking,ca,1,840.0,1700.0,4,3
santa maria,1700,apartment,1140,2,3.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,2,570.0,850.0,5,6
santa maria,2095,house,1555,5,2.0,1,1,0,0,0,0,w/d hookups,street parking,ca,5,311.0,419.0,4,2
santa maria,2185,apartment,1257,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,3,419.0,728.3333333333334,5,4
santa maria,2245,apartment,1257,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,628.5,1122.5,5,4
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,2500,house,2364,4,3.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,4,591.0,625.0,4,6
santa maria,1650,house,840,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,420.0,825.0,5,4
santa maria,2200,townhouse,1896,3,2.5,0,1,0,0,0,0,w/d hookups,attached garage,ca,3,632.0,733.3333333333334,4,6
santa maria,2300,house,1685,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,561.6666666666666,766.6666666666666,4,6
santa maria,1250,in-law,230,0,1.0,0,0,1,0,0,0,no laundry on site,street parking,ca,1,230.0,1250.0,1,2
santa maria,2200,house,1612,3,2.5,0,0,1,0,0,0,w/d hookups,carport,ca,3,537.3333333333334,733.3333333333334,4,4
santa maria,1775,apartment,829,2,1.0,1,0,1,0,0,0,laundry on site,off-street parking,ca,2,414.5,887.5,2,3
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1650,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,825.0,5,3
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1575,apartment,510,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca,1,510.0,1575.0,2,3
santa maria,1950,apartment,750,1,1.0,1,1,1,0,0,1,w/d in unit,off-street parking,ca,1,750.0,1950.0,5,3
santa maria,1950,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,975.0,5,3
santa maria,2400,house,1200,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,300.0,600.0,4,6
santa maria,1595,condo,882,2,1.5,0,0,0,0,0,0,w/d hookups,carport,ca,2,441.0,797.5,4,4
santa maria,3150,house,1800,3,2.0,1,1,0,0,0,0,laundry on site,attached garage,ca,3,600.0,1050.0,2,6
santa maria,1395,condo,731,1,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca,1,731.0,1395.0,5,5
santa maria,1995,house,1288,4,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,4,322.0,498.75,5,6
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1575,apartment,500,0,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca,1,500.0,1575.0,2,3
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,2400,house,1229,2,2.0,0,1,0,0,0,0,w/d in unit,detached garage,ca,2,614.5,1200.0,5,5
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1950,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,975.0,5,3
santa maria,1850,condo,1250,3,2.0,0,0,1,0,0,0,w/d in unit,attached garage,ca,3,416.6666666666667,616.6666666666666,5,6
santa maria,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa maria,1520,apartment,683,1,1.0,1,0,0,1,1,0,w/d hookups,off-street parking,ca,1,683.0,1520.0,4,3
santa maria,1900,apartment,998,2,2.0,1,1,0,1,1,0,w/d hookups,off-street parking,ca,2,499.0,950.0,4,3
santa maria,3500,house,3000,5,4.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,5,600.0,700.0,5,6
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1520,apartment,657,1,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,1,657.0,1520.0,4,4
santa maria,2100,house,1218,3,2.0,0,1,1,0,0,0,w/d hookups,attached garage,ca,3,406.0,700.0,4,6
santa maria,2050,apartment,1440,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,480.0,683.3333333333334,5,6
santa maria,1040,apartment,840,2,1.5,0,0,0,0,0,0,laundry on site,attached garage,ca,2,420.0,520.0,2,6
santa maria,1600,house,1000,2,1.0,0,0,0,0,0,0,w/d in unit,detached garage,ca,2,500.0,800.0,5,5
santa maria,3050,house,2144,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage,ca,2,1072.0,1525.0,5,6
santa maria,2800,house,1900,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,633.3333333333334,933.3333333333334,4,6
santa maria,1700,apartment,700,2,1.0,0,1,0,0,0,1,w/d in unit,street parking,ca,2,350.0,850.0,5,2
santa maria,1450,manufactured,1040,2,1.5,0,0,1,0,0,0,w/d in unit,carport,ca,2,520.0,725.0,5,4
santa maria,1500,apartment,657,1,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,1,657.0,1500.0,4,4
santa maria,1790,apartment,800,2,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,2,400.0,895.0,4,4
santa maria,2500,house,1100,3,1.5,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,366.6666666666667,833.3333333333334,4,6
santa maria,1800,apartment,1400,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ca,1,1400.0,1800.0,3,3
santa maria,3490,house,2760,4,3.5,0,0,1,0,0,0,w/d in unit,attached garage,ca,4,690.0,872.5,5,6
santa maria,1560,apartment,683,1,1.0,1,0,0,1,0,0,w/d hookups,off-street parking,ca,1,683.0,1560.0,4,3
santa maria,1955,apartment,998,2,2.0,1,0,0,1,0,0,w/d hookups,off-street parking,ca,2,499.0,977.5,4,3
santa maria,1050,cottage/cabin,350,0,1.0,0,0,0,0,0,0,w/d hookups,street parking,ca,1,350.0,1050.0,4,2
santa maria,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa maria,1520,apartment,657,1,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,1,657.0,1520.0,4,4
santa maria,1395,apartment,587,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca,1,587.0,1395.0,2,4
santa maria,1585,apartment,683,1,1.0,1,0,0,1,1,0,w/d hookups,off-street parking,ca,1,683.0,1585.0,4,3
santa maria,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa maria,1525,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,500.0,1525.0,2,4
santa maria,1525,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,500.0,1525.0,2,4
santa maria,3490,house,2760,4,3.5,0,0,1,0,0,0,w/d in unit,attached garage,ca,4,690.0,872.5,5,6
santa maria,2200,house,2000,4,3.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,4,500.0,550.0,5,6
santa maria,1525,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,500.0,1525.0,2,4
santa maria,650,apartment,300,0,1.0,1,1,1,1,0,0,laundry on site,off-street parking,ca,1,300.0,650.0,2,3
santa maria,650,apartment,300,0,1.0,1,1,1,1,0,0,laundry on site,off-street parking,ca,1,300.0,650.0,2,3
santa maria,1595,apartment,815,2,1.0,1,0,0,0,0,0,laundry on site,carport,ca,2,407.5,797.5,2,4
santa maria,1585,apartment,815,2,1.0,1,0,0,0,0,0,laundry on site,carport,ca,2,407.5,792.5,2,4
SF bay area,2900,house,1258,3,2.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,3,419.3333333333333,966.6666666666666,4,5
santa maria,1375,apartment,610,2,1.0,1,0,0,0,0,0,laundry on site,carport,ca,2,305.0,687.5,2,4
santa maria,1400,house,1100,1,1.0,0,0,1,0,0,0,w/d hookups,street parking,ca,1,1100.0,1400.0,4,2
santa maria,2500,apartment,800,1,1.0,1,1,1,1,1,1,w/d in unit,off-street parking,ca,1,800.0,2500.0,5,3
santa maria,1525,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,500.0,1525.0,2,4
santa maria,2150,apartment,1154,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,384.6666666666667,716.6666666666666,4,3
santa maria,1865,apartment,800,2,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,2,400.0,932.5,4,4
santa maria,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
santa maria,1850,apartment,998,2,2.0,1,0,0,1,1,0,w/d hookups,off-street parking,ca,2,499.0,925.0,4,3
santa maria,2400,house,1503,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,2,751.5,1200.0,5,6
santa maria,1950,apartment,750,1,1.0,1,1,1,0,0,1,w/d in unit,off-street parking,ca,1,750.0,1950.0,5,3
santa maria,1600,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,425.0,800.0,5,3
SF bay area,3400,apartment,850,2,1.0,0,0,0,0,0,0,laundry on site,carport,ca,2,425.0,1700.0,2,4
santa maria,1159,apartment,300,0,1.0,1,1,1,1,0,0,laundry on site,off-street parking,ca,1,300.0,1159.0,2,3
santa maria,1910,apartment,800,2,1.0,1,0,0,0,0,0,w/d hookups,carport,ca,2,400.0,955.0,4,4
SF bay area,2000,condo,432,0,1.0,1,1,1,1,0,1,laundry in bldg,attached garage,ca,1,432.0,2000.0,3,6
SF bay area,5350,apartment,1400,3,1.0,0,1,0,0,0,0,laundry on site,street parking,ca,3,466.6666666666667,1783.3333333333333,2,2
SF bay area,2065,apartment,475,1,1.0,0,0,0,0,0,0,w/d in unit,street parking,ca,1,475.0,2065.0,5,2
SF bay area,3850,house,1704,4,2.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,4,426.0,962.5,4,6
SF bay area,3999,house,2520,4,2.0,1,0,0,0,0,1,w/d in unit,attached garage,ca,4,630.0,999.75,5,6
SF bay area,1675,apartment,575,1,1.0,0,0,0,0,0,0,laundry on site,carport,ca,1,575.0,1675.0,2,4
SF bay area,3999,house,2520,4,2.0,1,0,0,0,0,1,w/d in unit,attached garage,ca,4,630.0,999.75,5,6
SF bay area,3750,house,1778,3,2.0,1,0,0,1,0,0,w/d in unit,attached garage,ca,3,592.6666666666666,1250.0,5,6
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,2900,house,1100,3,2.0,0,0,1,1,0,0,w/d hookups,carport,ca,3,366.6666666666667,966.6666666666666,4,4
SF bay area,4461,apartment,721,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca,1,721.0,4461.0,5,6
SF bay area,3603,apartment,710,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca,1,710.0,3603.0,5,6
SF bay area,1856,apartment,804,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,804.0,1856.0,5,4
SF bay area,3000,apartment,700,2,1.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,2,350.0,1500.0,5,6
SF bay area,4825,apartment,35,2,1.0,1,1,0,0,0,0,w/d in unit,no parking,ca,2,17.5,2412.5,5,1
SF bay area,3495,condo,1035,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,2,517.5,1747.5,5,6
SF bay area,1400,apartment,650,1,1.0,0,0,1,0,0,0,no laundry on site,off-street parking,ca,1,650.0,1400.0,1,3
SF bay area,1895,apartment,700,1,1.0,0,0,1,0,0,0,laundry in bldg,carport,ca,1,700.0,1895.0,3,4
SF bay area,2700,apartment,700,1,1.0,0,0,0,0,0,0,laundry on site,detached garage,ca,1,700.0,2700.0,2,5
SF bay area,2695,apartment,800,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,400.0,1347.5,5,4
SF bay area,1750,apartment,550,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,ca,1,550.0,1750.0,2,3
SF bay area,4000,apartment,2000,4,2.0,1,0,0,0,0,0,w/d hookups,off-street parking,ca,4,500.0,1000.0,4,3
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,4970,apartment,1000,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca,2,500.0,2485.0,5,3
SF bay area,1845,cottage/cabin,640,1,1.0,0,0,1,0,0,0,w/d in unit,street parking,ca,1,640.0,1845.0,5,2
SF bay area,3250,apartment,1100,1,1.0,1,1,0,0,0,0,laundry in bldg,carport,ca,1,1100.0,3250.0,3,4
SF bay area,1800,cottage/cabin,550,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,ca,1,550.0,1800.0,5,2
SF bay area,2599,apartment,730,1,1.0,1,0,1,0,0,0,w/d in unit,attached garage,ca,1,730.0,2599.0,5,6
SF bay area,4150,condo,722,1,1.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,1,722.0,4150.0,5,6
SF bay area,2050,apartment,735,2,1.0,1,0,1,0,0,0,laundry on site,carport,ca,2,367.5,1025.0,2,4
SF bay area,4395,house,2200,5,2.5,0,0,0,0,0,0,w/d hookups,attached garage,ca,5,440.0,879.0,4,6
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,5126,apartment,1154,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca,2,577.0,2563.0,5,6
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,2795,apartment,800,2,1.0,0,0,0,0,0,0,laundry in bldg,carport,ca,2,400.0,1397.5,3,4
SF bay area,4500,townhouse,1714,3,3.5,0,0,0,0,1,0,w/d in unit,attached garage,ca,3,571.3333333333334,1500.0,5,6
SF bay area,3750,house,1653,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,3,551.0,1250.0,5,6
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,2650,apartment,688,1,1.0,1,0,1,0,0,0,laundry on site,carport,ca,1,688.0,2650.0,2,4
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,2400,flat,800,1,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,1,800.0,2400.0,5,3
SF bay area,2500,house,779,2,1.0,1,0,1,0,0,0,laundry on site,attached garage,ca,2,389.5,1250.0,2,6
