region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
reno / tahoe,1050,duplex,720,2,1.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,2,360.0,525.0,4,6
reno / tahoe,1595,house,1180,1,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,1,1180.0,1595.0,5,6
reno / tahoe,2195,house,2523,4,2.5,1,1,0,0,0,0,w/d in unit,attached garage,ca,4,630.75,548.75,5,6
reno / tahoe,980,apartment,580,1,1.0,1,1,1,1,0,0,laundry in bldg,carport,ca,1,580.0,980.0,3,4
reno / tahoe,1295,condo,951,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,475.5,647.5,5,3
reno / tahoe,1195,house,844,2,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,ca,2,422.0,597.5,4,3
reno / tahoe,895,house,582,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca,1,582.0,895.0,1,3
reno / tahoe,1195,house,1076,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking,ca,2,538.0,597.5,4,3
reno / tahoe,1995,house,1672,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,557.3333333333334,665.0,4,6
reno / tahoe,1795,house,1995,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,498.75,448.75,4,6
reno / tahoe,1399,apartment,1191,2,2.0,1,1,0,1,1,0,w/d in unit,carport,ca,2,595.5,699.5,5,4
reno / tahoe,1695,house,1092,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ca,3,364.0,565.0,4,3
reno / tahoe,1525,apartment,1067,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,2,533.5,762.5,5,4
reno / tahoe,1800,apartment,1303,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,3,434.3333333333333,600.0,5,4
reno / tahoe,1599,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,2,489.0,799.5,5,4
reno / tahoe,2100,house,1100,2,2.0,0,1,0,0,0,1,laundry on site,off-street parking,ca,2,550.0,1050.0,2,3
reno / tahoe,1399,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca,1,823.0,1399.0,5,4
reno / tahoe,1277,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,680.0,1277.0,5,4
reno / tahoe,1532,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,585.5,766.0,5,4
reno / tahoe,980,apartment,580,1,1.0,1,1,0,1,0,0,laundry in bldg,carport,ca,1,580.0,980.0,3,4
santa barbara,3000,house,900,3,1.0,0,1,0,0,0,0,w/d hookups,off-street parking,ca,3,300.0,1000.0,4,3
reno / tahoe,1345,apartment,925,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,462.5,672.5,5,3
